"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-04-10","5.82"," 2339"," 2339","0.00","0.0","0.0","51","61","41",,"   10","   10","0.0","16.1","17.9",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-04-11","11.63"," 0326"," 0320","0.00","0.0","0.0","50","59","40",,"   20","   20","0.0","21.0","23.9",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-04-12","12.53"," 1736"," 1735","0.00","0.0","0.0","48","57","38",,"  190","  190","0.0","23.9","28.0",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-04-13","9.62"," 1012"," 1115","0.00","0.0","0.0","47","55","39",,"   30","   10","0.0","17.9","23.9",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-04-14","14.09"," 1819"," 1840","0.00","0.0","0.0","51","63","39",,"  100","  100","0.0","21.9","25.9",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-04-15","14.99"," 0952"," 0742","0.00","0.0","0.0","49","57","40",,"   30","   40","0.0","25.9","33.1",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-04-16","9.84"," 0837"," 1206","0.00","0.0","0.0","49","58","40",,"   30","   70","0.0","17.9","21.9",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-04-17","8.72"," 1847"," 1836","0.00","0.0","0.0","56","73","39",,"  190","  190","0.0","17.9","23.0",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-04-18","8.50"," 1537"," 1536","0.00","0.0","0.0","61","74","48",,"  150","  150","0.0","19.9","21.9",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-04-19","8.05"," 1712"," 1641","0.00","0.0","0.0","56","67","45",,"  180","  180","0.0","23.0","28.0",,,,,,,,"    1",,,,,,,,,,,,
